Id_New;IdentFMU;Nom courant;SdUAI;MoyUnite;MoyETPT;RecDroitsbib;RecTutelle;RecCollTerr;RecAutMin;RecRessProp;RecAut;DepSalTit;DepSalNonTit;DepSalAut;DepDepDoc;DepMaintenance;DepAut;DepInv;DepNCA;AcqSuppLiv;AcqSuppPer;AcqSuppAut;AchatNumLiv;AchatNumPer;AchaNumtAut;AbonNumLiv;AbonNumPer;AbonNumAut;DepDPartForm;DepDPartRec;DepDConserv;DepDNumeris;AONoticeStock;AOTexteStock;AONoticeFlux;AOTexteFlux;AOVisites;AOTelecharg;SuppTitLiv;SuppTitPer;SuppTitAut;UnitMatLiv;UnitMatAut;SuppMlLiv;SuppMlPer;SuppMlAut;MLAccesLiv;MLAccesPer;MLAccesAut;PatTitLiv;PatTitPer;PatTitAut;PatUnitMatLiv;PatUnitMatAut;PatMLLiv;PatMLPer;PatMLAut;Sudoc;SudocPart;ColNNumerise;ColNTheseNum;ColNPedago;ColNAccLibre;ColNNumeriseGo;ColNTheseNumGo;ColNPedagoGo;ColNAccLibreGo;ColNAcqRess;ColNAcqTitLiv;ColNAcqTitPer;ColNAcqRessGo;ColNAcqTitLivGo;ColNAcqTitPerGo;EntTitLivFr;EntTitlivEt;EntTitPer;EntTitAut;EntVolLivFr;EntVolLivEt;EntVolAut;DonTitLivFr;DonTitLivEt;DonTitPer;DonTitAut;DonVolLivFr;DonVolLivEt;DonVolAut;SorTitLivTot;SorTitPer;SorTitAut;SorVolLiv;SorVolAut;EntNumerise;EntTheseNum;EntPedago;EntNumeriseGo;EntTheseNumGo;EntPedagoGo;EntNumAcq;EntNumAcqGo;NbNumSouscrite;NumSignalePer;NumSignaleLiv;NbEntrees;NbExpos;NbAutManif;EmprL;EmprM;EmprD;EmprEC;EmpAut;EmprExt;InscritL;InscritM;InscrritD;InscritEC;InscritAut;InscritExt;OrgInscritD;OrgInscritC;OrgInscritIR;OrgInscritAut;OrgInscritExtC;OrgInscritExtAut;UsSessions;UsRec;UsVuesEbook;UsVuesArticles;UsVuesAut;UsVueNumerise;UsVuePedago;UsVuesTheseNum;UsVuesArticleEtb;UsVisites;UsRecCat;UsQuestions;FormOutcursH;FormOutcursL;FormOutcursM;FormOutcursD;FormOutcursAut;FormIncursH;FormIncursL;FormIncursM;FormIncursD;PebDExp;PebDSat;PebFRecues;PebFSat;PersPP_BibA;PersPP_BibB;PersPP_BibC;PersPP_BibBC;PersPP_ITRFA;PersPP_ITRFB;PersPP_ITRFC;PersPP_ITRFBC;PersPP_AutA;PersPP_AutB;PersPP_AutC;PersPP_AutBC;PersPP_CDDA;PersPP_CDDB;PersPP_CDDC;PersPP_CDDBC;PersPP_CDIA;PersPP_CDIB;PersPP_CDIC;PersPP_CDIBC;PersPP_Etud;PersETPT_Etud;PersFormH;Activite1;Activite2;Activite3;Activite4;Activite5;Activite6;Activite7;Activite8;Activite9;Activite10;Activite11;Activite12;Activite13;Activite14;Activite15;Activite16;ActiviteAut
128;306;SCD de l'Université de Rouen Normandie;0761652H;;79,14;;1510000;;;38247;272020;3523645,65;465919,3;;1378354,02;;370073,96;212493;;356734,02;170112;8404;9516;;;71112;585218;177258;40;60;;;9820;5273;3920;1418;2270594;1368543;407109;4493;52996;572143;59872;18020;5960;1120;8510;738;198;17731;129;;12269;;594;;;;95;;2232;;95;;;;0;;1188;2266;;;;8942;67;575;191;11520;72;191;731;45;22;398;756;45;398;9267;28;304;12984;310;;2232;;;;;23;;47;16621;50947;819743;43;5;7561;4392;566;657;196;656;7561;4392;566;657;196;656;;;;;;;105566;506438;290650;503955;245242;;;995949;1368548;93166;455306;;211;256;113;93;63;103;149;251;;1486;1436;1037;1015;13;18;23;;;;;;4;1;5;;1;3;8;;;;2;;31;7,64;1156;23,25;9,2;6,15;18,17;1,5;1,7;;0,75;1;1,1;1,7;;;5;5;1,2;3,42
129;307;SCD de l'Institut national des sciences appliquées de Rouen;;TTC;6,5;;275132;;;;;323768;11413;;234580;;;10000;3323;16300;15375;955;4090;;;;197155;;25;75;705;;4250;1451;1258;265;644067;295461;16606;441;1622;19924;1622;540;750;25;376;37;10;4820;20;;4820;;154;50;;;90;404;;;80;;;;0;;230;;;;;510;50;;;595;50;;;;;;;;;;;;;;;25;;;;;;;21;35000;230;100820;;2;320;280;12;47;57;2;;;;;;;;;;;;;;;1003;177525;;;;;;26000;23874;;6;60;18;;;30;292;;;35;35;11;11;1;2;1;;1;;1;;;;;;;;1;;;;;;;;126;2;0,25;0,5;0,75;0,5;0,25;0,25;0,5;0,5;;0,25;;0,25;0,25;0,25;;
130;309;Bibliothèque Sainte-Geneviève;0752706J;TTC;107,58;487404,27;2451980;0;69419,77;38832,71;19971,25;4513397,1;672458,68;99981,72;1269139,59;620659,61;326316,4;146222,28;75800,39;605563,91;288235,12;31552,46;10153,11;3578,56;16097,82;9809,02;49356,79;52881,77;62,16;37,84;151861,32;50049,71;0;0;0;0;0;0;1628542;20805;15355;;;35700;12289;867;948;21;0;193194;1022;6853;;;5353;838;253;;98,1;5696;0;0;100;8191;0;0;100;40;112;154;;;;10522;4809;2139;124;;;;123;491;104;82;;;;3588;106;0;3588;0;1119;0;0;900;0;0;0;0;23;82314;287996;322461;14;15;2580;2376;1098;893;2132;;18333;8695;2633;2195;13276;;;;;;;;87055;45520;19233;130149;3682;329913;0;0;0;88449;477471;172;24,5;25;35;0;1;0;;;;94;89;1507;1088;24;12;37;0;1;0;0;0;3;1;6;0;5;9;11;0;0;1;0;0;22;5,57;1142,4;10,73;34,74;0,56;30,86;3,03;0;0;1;1,54;1,19;0,05;0;0;9,86;13,06;0,96;0
131;310;Bibliothèque interuniversitaire Sainte-Barbe;0755041X;TTC;56,1;86166;1512644;0;0;64688;483073;1588685;682316;51243;516785;335141;653604;175129;0;289611;42797;0;7210;;;27127;8932;72733;100;;68375;0;0;0;0;0;0;0;113219;307;0;146539;0;4310;153;0;4310;153;0;0;0;0;0;0;0;0;0;;100;0;0;0;0;0;0;0;0;0;37440;0;0;0;0;7837;359;305;0;11962;375;0;7;0;2;0;7;0;0;10649;4;0;13262;0;0;0;41;0;0;0;0;0;87;14304;14032;739964;1;5;4790;4019;0;24;121;0;20249;13285;0;173;409;0;;;;;;;;10350;1092;4522;;0;880;0;0;157731;293828;0;124;160;139;4;1;0;0;0;0;0;0;0;0;9;14;2;0;0;0;0;0;2;0;0;0;5;9;4;0;0;2;0;0;25;11;2320;23,46;0;0,93;15,38;0,9;0;0;1,52;0,2;0;0;0;0;5,67;6,17;1,87;0
132;311;SCD de l'Université Jean Monnet;0421523C;TTC;57,38;332216;655000;30500;300;4830;30677;2979126;286267;;602051;22303;23360;120000;;202921;74606,94;16245;;;;27741,38;133484,68;137254;63;37;9798;0;30093;7895;4967;1338;;231939;265590;1888;257720;304298;262092;5976;2037;479;3852;240;225;1287;15;350;1635;350;64;18;18;;81,38;;483;;25;;;;0;;;;;;;6592;364;466;189;8371;378;189;171;84;41;20;185;85;20;12027;22;359;15862;383;;108;;;;;;;35;23307;38589;1019314;26;37;4400;1737;176;277;328;762;;;;;;;;;;;;;;133610;;187375;;;;;;41461;191646;;33;277;124;;24;624;3481;432;41;942;862;506;460;11;14;17;;3;1;1;;1;2;2;;0;1;3;;0;2;1;;55;7,14;1188;19,61;1,94;1,48;16,61;0,9;0;0;3,48;2,04;0,12;0,12;0;0;8,77;3,74;2,56;0,77
133;314;Bibliothèque interuniversitaire Sorbonne;0752705H;TTC;104,31;603006;2662511;;;733392;;6710883;904440;;2253653;;967941;106744;136919;876544,98;570519;83264;87199;47500;53012;15262;181215;78895,02;;100;260242;0;;;;;;;1064642;18211;107647;;;29731;8568;2931;1186;99;0;102995;290;75404;;;;;;;79,41;3105;;;0;2824;;;0;53;65691;11306;;;;6387;10354;3079;1531;6865;10560;1587;843;251;175;;886;280;;29;;;41;;307;;;290;;;;;128;44087;89687;230514;8;67;;;;;;;5740;10317;3081;3224;249;267;;;;;;;82288;1328616;188896;688728;45213;4301;;;;;;;34;13;15;61;1;128;0;1244;23;712;653;4124;3695;32;32;39;;;;;;1;5;14;;6;7;12;;;1;1;;20;4;2104;31;3,8;1,2;37,21;3;;;2,5;0,2;5;0,1;;;12;7,5;0,8;
134;315;SCD de l'Université de Strasbourg;0673029D;HTR;156;1143374,62;2184861,62;;;37769,68;496731,23;7086972;862307;66849,27;3070552;89482,86;168116,91;112276,96;422308,7;493403,43;392307,62;11850,99;75861,87;;;62628,24;1460808,67;561954,45;33;67;11736,73;;23779;3091;2860;1557;;;922330;18810;264293;1075183;293606;28234;16224;3257;13937;3083;218;138724;706;99171;163645;107240;4349;;1625;;83;21637;7152;;0;2890;89;;0;39;14626;3122;;;;12496;1703;1676;274;15729;1770;274;6018;;381;464;6224;;464;32513;182;;42212;;13277;888;;247;9;;44;;98;64712;82762;1819513;54;49;7173;8367;1242;981;428;513;;;;;;;;;;;;;618913;1671615;2358328;1562885;446591;78174;;284485;;998027;1376091;1038;304;301;361;246;97;1308;7718;3410;82;1649;1509;3110;2709;29;29;41;;8;7;13;;2;2;3;;2;1;19;;2;1;1;;79;9;2323;45,23;10,8;11,22;44,89;9,25;1,11;0,01;2;2,61;0,73;1,45;0,05;0,62;20,6;10,65;3,72;0,22
135;319;Bibliothèque nationale et universitaire de Strasbourg (SD);;TTC;162,03;181358;2249817;10000;300;232521;202664;6302637;1262307;151554;1450517;924767;1360618;80259;0;515537;322586;206264;18454;186;1443;21660;84444;42020;18,37;81,63;170240;67683;;;;;;;1872080;45587;353420;1872080;353420;43651;27320;2310;3823;128;0;1100000;;294904;1100000;294904;;;1917;;86,56;136612;;;98;52927;;;0;24;573;614;;;;8599;6176;1642;22;8599;6176;22;3632;2670;3165;30;3632;2670;30;0;107;0;0;0;6236;;;5665;;;0;0;69;19363;3358;717671;5;236;3292;2522;545;360;205;3950;;;;;;;;;;;;;35234;54373;13884;269792;0;628733;;;;334410;;9595;58;373;0;25;183;112;72;710;51;2234;1966;9947;8399;28;22;23;0;2;6;1;0;7;9;14;0;5;16;21;0;0;0;2;0;42;7;1660;46,37;5;2,61;47,94;5,21;0,21;0;7,29;5,73;3,02;1,04;1,04;2,29;7,69;24,23;2,34;0
136;320;SCD de l'Institut national des sciences appliquées de Strasbourg;;HTR;3,43;51306;115000;;;312;;118521;49119;;98966,16;28593;3000,94;2636;1638;19939,93;22115,51;0;0;0;0;10242,69;22285;22322,3;56,67;43,33;2061;0;1957;1479;163;151;;;14554;734;244;15665;258;392;374;6;378;212;6;116;7;34;120;34;3;10;1;;93;0;3436;;0;;;;0;5;199;18994;;;;553;28;119;;588;30;;22;4;9;;23;4;;498;17;;498;;0;;;;;;;;48;26997;14313;56307;0;1;511;436;36;67;25;41;;;;;;;;;;;;;2949;13510;8936;6858;0;0;0;0;;;;381;7;217;;;;15,5;63;0;0;8;8;8;8;;;;;1;1;;;;;;;;;1;;;;;;4;0,63;69;1;0;0;0,55;0,1;0,1;0;0,1;0;0,2;0,05;0;0;0,2;0,2;0,2;0,1
137;325;SCD de l'Université de Toulon;0830989Z;TTC;34,58;;480000;27970;;3561;19030;1704243;82128;;424454;42449;45620;;3768;136337;63918;5663;1080;;;;143569;67523;83,61;16,39;6364;;12009;4366;3563;1232;5610;213440;105175;1393;3077;138594;4297;;;;;;;;;;;;;;;;96,26;4130;657;;11,36;50;;;0;72;25;280249;;;;4222;198;366;68;4859;199;73;49;56;6;0;77;56;0;2609;213;0;3136;0;55;100;;;;;;;112;230981;;450787;16;20;2525;1008;120;255;235;134;;;;;;;;;;;;;48723;188526;16446;68386;112518;780704;;372316;340471;169667;143863;;26;120;;32;;556;2242;207;;1244;1057;113;100;7;7;10;;1;;2;;;;1;;;1;1;;;;1;;38;3,14;646,5;13,29;3,14;1,75;6,75;0,52;0,39;0;0,41;0,25;0,1;0,23;0;0,1;3,57;0,59;0,2;0,15
138;326;SCD de l'Université Toulouse-I-Capitole;0312480C;HTR;85,24;403622;1095890;;8100;29579;37;3851187;464900;;1093888;5878;177974;;;377417;326173;3870;24578;;;;41527;276228;54,17;45,83;44095;;15466;3623;948;647;218265;86656;296923;7912;45194;397344;46724;9200;6843;1289;5510;1713;547;27505;200;;46752;;1800;;;;99;;675;;0;;;;0;38;295385;57310;;;;4772;970;806;122;9828;1057;123;126;24;17;;130;26;;3836;30;19;8681;19;;77;;;;;;;37;132632;305681;1060804;10;41;4938;4278;591;249;569;2559;;;;;;;;;;;;;99530;1209495;728223;230906;5728333;;;;;1383466;260432;956;1264;4189;101;70;13;1418;3528;148;230;506;327;910;677;14;17;19;;3;6;1;;7;;5;;;1;6;;;;;;65;8;3390;24,32;2,55;5,57;20,28;1,56;1,44;0,11;2,52;0,26;0,66;1,5;1,53;0;11,52;7,5;2,12;1,79
139;327;SCD de l'Université Toulouse - Jean Jaurès;0312477Z;TTC;98,65;529985;437531;;;3838;41134;4785434;332446;;750726;;217175;0;44587;271581;156482;37119;;;;18432;244244;3300;;;20233;;13206;11718;2932;2043;;;578556;6873;62777;695943;85486;16633;4815;383;9707;1622;377;899;;;915;;180;;;;91;0;5005;0;26;0;151;0;;36;1921;23;;;;8608;1313;1193;774;10492;1370;911;1010;7;126;1;1408;7;1;6769;166;122;7637;129;0;1674;0;;24;;0;;91;20173;8698;487571;74;43;8298;6654;1172;919;417;1186;;;;;;1297;;;;;;;116637;301625;78641;468822;0;;;87988;;203841;868996;1384;260;327;392;19;114;981;2260;636;147;2403;2195;2641;1938;13;21;14;;8;11;15;;6;1;;;;1;2;;;;1;;121;10,8;2987;28;17,55;6,95;21,8;2,55;0,6;0;1,5;2,2;1;1,15;0;0,6;8,7;5;0,75;0
140;328;SCD de l'Université Toulouse-III-Paul-Sabatier;0312461G;HTR;71,75;773048;1389599;0;0;183555;0;3336703;262297;179021;1419256;386993;282030;29868;0;258064;68372;2850;0;694;0;58642;740844;279805;29;71;9985;0;25126;19050;5774;3888;;;144975;10265;38182;191182;53348;5669;9181;2082;3435;1012;21;1800;1386;2;8800;2;321;;0;;99,5;0;6091;0;85;0;91;0;79,9;4;619;3;;;;5161;205;257;78;8293;220;92;394;2;15;0;468;2;0;;15;16;5352;16;0;879;0;0;13;0;0;0;40;18948;451481;1154044;14;46;6843;2330;689;324;750;412;;;;;;412;;;;;;;56657;121512;1113656;1157835;99570;0;0;346884;;153509;399744;744;279;0;19;171;9;723;6424;532;431;1341;1166;377;351;15;16;20;0;2;7;3;0;1;3;2;0;0;1;5;0;0;0;0;0;41;5,25;2709;18;2,55;5,01;19,15;2,25;0,1;0;2,7;0,36;0,23;0,37;0;1,6;9,73;7,9;0,92;0,88
141;329;SCD de l'Institut national polytechnique de Toulouse;0312481D;TTC;16,54;76738;370458;;;346720,74;819015,74;718985,91;199621,72;;604466,12;;36360,41;;805925,74;62601,53;20829,41;12950,04;4011,34;;;58397,22;379583,64;63532,23;25;75;2560,71;;109;12403;16;1659;;1236552;39375;1263;8848;48342;13462;1224;1288;239;853;101;50;;;;;;;;;;93,2;;3445;;94;;;;0;;63;;;;;1633;150;161;238;1819;153;238;1;23;2;0;1;23;0;1302;9;9;1309;9;;195;;;;;;;33;8783;30838;293898;;;916;1484;147;120;219;47;;;;;;;;;;;;;;;43180;311492;52225;;;750278;394538;;;387;27;;152;20;;198;543;658;;131;127;193;182;3;4;;1;1;1;;;1;1;;;1;8;;;;;;;25;1,53;1406;5;0,07;1,1;3;2;2;0,04;0,7;0,03;1;0,06;;;1,5;1,6;0,04;
142;330;SCD de l'Institut national des sciences appliquées de Toulouse;;TTC;9,9;62900;35004;;;73500;;421910;73524;;131039;1152;18873;1680;4810;25646;7492;;2446;;;6934;45295;41396;54;46;1830;0;7428;7944;431;85;1787;100925;16368;132;1650;21043;3340;840;84;;473;8;;;;;;;;;;;100;0;627;0;0;;;;0;;26;;;;;501;79;69;;699;175;;4;2;5;;4;2;;620;4;;620;;;30;;;;;0;;23;15152;644;102372;1;7;1340;638;33;57;120;166;;;;;36;;;;;;;;4865;11865;14180;116759;9947;;;;;19507;14812;355;;;;;;109;442;490;0;35;32;36;32;0;3;1;;2;1;;;;1;;;1;1;;;;;;;15;0,5;582;2,5;0,2;1;2;0,5;1;0;0,5;0,3;0;0;0;0,1;1;0,3;0,5;
143;332;Service Interétablissements de coopération documentaire de Toulouse;0312479B;TTC;27,8;213500;;;;43041;987745;1300000;128555;;70422;7355;184317;1372;714420;583;499;0;;;;;22652;44135;29;71;2553;0;;;;;;;1381;15;0;2145;0;79;16;0;47;;0;0;0;0;0;0;0;0;0;;100;9803;0;0;98;117;0;;95;;1496;;;;;14;4;7;;14;4;;1;0;4;;1;0;;0;0;;0;;190;;;5;;;;;3;9555;42379;;2;7;;;;;;;;;;;;;;;;;;;0;151802;27687;62838;500229;;;;;44622;1614796;25;0;0;0;0;0;3;0;6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0,16;0,15;3,31;3,56;4,85;0;0;5,5;0,14;2,1;0,76;0;0;3,15;1,8;;2,32
144;333;SCD de l'Université de Tours;0370853B;HTR;86,5;529822;1094507;;;8655;16696;4107374;241814;;1234525;82805;118286;119475;;269507;162762;19686;630000;29827;;;102742;;30;70;20001;;15540;3875;1816;555;;;403574;4505;35891;513334;63704;12923;4386;2670;5719;1309;54;17046;137;696;21080;7972;652;67;54;;93;298;4952;;0;;;;0;54;5862;2352;;;;7147;816;930;415;9017;925;428;786;142;0;0;803;142;0;4010;38;0;15077;0;;481;;;;;;;110;77620;120877;977824;26;23;8191;3144;437;738;483;747;;;;;;;;;;;;;166010;607109;1523373;826941;179610;;;45624;;;421409;136;220;412;51;87;105;773;8218;757;41;1302;1168;1735;1581;15;18;31;;4;2;3;;1;0;5;;0;3;2;;0;4;2;;40;3,4;1496,5;15,6;21;11,2;15;6,7;2;0;1,5;1;0,5;0,5;0;0;7;4;0,5;
145;334;SCD de l'Université de Technologie de Troyes;0101082X;TTC;12,8;;446750;;;;2232,1;570406,44;56528,44;;358467,93;36,97;47196,79;4611,54;1450;28089,9;42208,27;430,9;4624,58;;;14404,99;178692,53;87913,06;28,8;71,2;2103,7;;7176;280;469;20;;;30313;283;1246;39465;1392;717;216;11;374;24;3;0;0;0;0;0;0;0;0;;99,4;0;137;0;98,54;;;;0;1;19927;21044;;;;645;177;143;15;966;194;21;23;7;8;5;23;7;8;678;41;22;968;32;0;1;0;;;;;;27;83951;83811;252830;2;6;348;875;46;55;100;7;;;;;;11;;;;;;;;;81961;123555;29166;;;;;35150;29503;0;75;256;691;0;157;60;428;230;0;69;66;38;35;1;6;2;;1;1;;;;;1;;1;;;;;;;;13;0,6;324;3,6;0,4;1,4;3,5;1;0,07;0;0,08;0,4;0,01;0,03;0;0;0,9;1,02;0,3;0,09
146;339;SCD de l'Université polytechnique des Hauts-de-France;0595346R;TTC;42,34;180013;451607;47560,04;200;16723;0;1814868,73;175132,44;40022,9;433002,31;77558,49;70720,75;34500;25991,58;115197,44;69541,41;9475,65;2043,97;2388;0;12735,07;163326,95;50805,4;67,93;32,07;7488,42;0;10062;1769;377;329;5309;294751;140418;1530;4731;178364;6072;3567;1753;107;2989;112;84;1804;9;1;1880;1;70;17;0;;97,63;463;451;194;62,23;8;;0;;3;7278;2153;;;;3220;81;371;186;4409;111;186;272;29;19;0;297;32;0;2047;31;1;2820;1;197;64;194;4;;0;0;0;33;36685;43335;415242;103;366;2846;1849;110;253;623;65;3382;1924;112;259;643;65;0;0;0;0;;0;97738;152991;34995;144718;71125;;;884;292867;;135035;381;8;0;0;0;13;442;2893;405;57;1088;1024;372;312;7;10;17;;1;0;0;;0;1;1;;1;2;1;;0;0;0;;47;2,41;753;9,25;1,2;2,75;9,3;1,55;0,9;0,35;0,95;1,4;0,15;0,65;0;0,1;3,7;5,6;1,15;0
147;341;SCD de l'Université de Versailles-Saint-Quentin-en-Yvelines;0783398V;TTC;53,18;;929037;2000;;7701;50000;2004882;487745;;862373;23489;92730;10146;0;249507;104865;;93658;;;34736;361066;;60;40;18541;0;11717;6080;1475;738;1392;882555;159748;352;190102;227581;191194;5052;2381;128;4198;918;11;0;0;0;;;;;;;98;0;510;;66;;;;0;37;11908;38780;;;;5991;103;352;;9630;133;;491;41;0;0;531;41;;4050;111;36;7155;64;0;101;0;;;;510;;37;38780;11908;742588;13;18;3687;2734;141;203;185;286;12124;5678;1073;533;185;286;;;;;;;;;75754;575058;;0;0;74;759;198747;283908;0;;;;;;274;3253;574;104;107;61;223;164;11;9;12;0;1;2;2;0;1;0;0;0;1;4;9;0;0;0;1;0;35;3,88;1272;18,5;0,8;1,5;12,4;0,6;0,6;1,2;0,7;1,2;1,6;0,3;0;1,6;3,9;3,6;1,8;2,88
148;342;SCD de l'Université de Guyane;9730482L;HT;12,3;58582;223118;;;4619;6330;691017;54600;23855;181899;15823;19917;1633;20271;81307;10508;;;;;25696;54351;10037;72;28;;;629;407;299;129;120668;52206;49203;79;925;78016;1175;1500;120;8;1192;11;7;3;;;3;;;;;;100;;29;0;100;;;;0;5;6094;0;;;;1566;30;79;;3858;51;;46;0;;;92;0;;800;;;1759;;0;15;0;;;;;;27;46695;254847;120000;;;;;;;;;;;;;;;;;;;;;193;11872;105953;28305;825;;;;;15515;;;4;100;;;;201;830;473;22;37;36;30;30;4;1;4;;;1;;;;;;;;1;;;;;;;3;0,56;236;4;0,05;1;3;0,45;0,1;;0,1;0;;;;;1,8;1,7;0,1;
149;343;Grand équipement documentaire du Campus Condorcet;;HT;11,6;;89812;;;;50000;;;;29658;;59812;40000;;19871;;;9787;;;;;;;;;;;;;;;;100873;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;373;;;;;;;;;;;;;;;;;;;;;;;;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;3;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
150;344;SCD de la Communauté d'universités et établissements Lille-Nord-de-France;;TTC;18,5;;;;;;;;;;284888;;;;;177519;34189;11969;1150;;;19451;5710;11321;90;10;23579;0;611;611;62;62;61020;639468;112842;932;4418;230751;6546;2794;396;64;1451;105;63;5019;105;10;5332;0;1108;19;2;;99,89;0;611;6;100;;;;0;4;420;118;;;;6115;59;6;240;9861;74;342;212;15;0;1;680;50;1;2962;12;65;4787;65;0;62;6;;;;420;;11;2;420;;21;20;;2513;;106;52;203;;3004;;136;66;278;;;;;;;7218;6949;5993;19925;17183;;;708005;;;;381;82;;693;;;28;;202;;87;78;108;96;2;7;2;;;;2;;1;;2;12;1;1;4;;;;;;12;2;271;8,5;1,3;0,9;2,2;0,2;0,1;0,2;1,5;0,8;0,2;;;;2,1;0,2;0,3;0,1
151;345;SICD de l'Université Grenoble Alpes et INPG;0383505D;HTR;142,95;1179211;1393164;75004;0;376903;2325830;7405016;482082;8599;1992315;664196;306988;363211;1509786;361576;269721;4968;123;0;0;49739;863508;377162;18;82;537;0;111676;43705;14889;5422;;;572549;15829;115909;800502;165295;24334;17161;2814;11607;2795;114;41168;0;15679;65771;16174;597;0;539;;86;9587;2682;0;100;244;14;0;100;6;1629;45613;;;;9588;558;1482;253;13537;612;351;5415;174;151;40;8836;234;47;18584;135;350;26369;370;378;466;0;8;2;0;0;0;74;114306;39944;1438518;21;17;;;;;;;11866;7283;1029;1239;957;15661;;;;;;;179251;740780;122149;739703;0;3917;;;;765043;333690;35;190;84;102;98;626;952;8453;1266;477;2104;1792;4086;3739;26;40;44;;3;3;4;;3;1;13;;2;1;11;;0;1;0;;71;4,93;3519;;;;;;;;;;;;;;;;;
152;346;SCD de l'Université des Antilles;9720434P;TTC;54,3;220234;536000;5000;60480;167938;;3567517;314151;;682954;89743;212232;23736;57498;235153;35227;3716;4245;256;0;56881;225444;11146;70;30;36980;73906;5956;3216;1526;1029;;;195070;914;8002;277365;9916;6427;1373;250;5239;372;142;;;;;;;;2;;88;20672;465;187;100;16500;;;0;16;53288;;;;;5854;494;141;49;9202;683;98;720;8;3;5;1191;9;8;8830;61;947;12065;1002;;86;192;;;;;;83;73286;98553;351291;6;47;3383;1650;106;297;978;839;;;;;;;;;;;;;;;178418;167445;10921;599121;;92214;;174118;236414;;150;101;402;90;19;624;2244;310;138;385;332;97;73;10;14;10;;4;1;3;;1;2;4;;3;1;1;;1;;;;25;4;1025;8,5;13;2,5;13;4;0,5;;0,5;1;0,1;;1;;4;6;0,2;
153;347;SCD de l'Université de Lille;0595785T;TTC;182,97;1200163;3811105;108670;0;319022;112508;8298648;605768;367536;3434510,24;364688;967524;198510;218700;549417,59;296917,52;12965,03;157243,83;1680086,61;661177,66;;;;30;70;46511;30191;7353;4129;1843;302;9253;315394;745027;18571;142760;968745;104216;30327;15788;3656;11200;386;51;10604;50;0;12471;0;490;22;0;;93;65281;9211;250;80;;;;0;;;;;;;10913;1472;1307;73;21140;1647;90;980;1113;20;0;1088;1193;0;4428;55;271;25315;306;16216;1818;0;;;;;;107;;;2169603;51;348;14099;6351;560;1588;745;1823;;;;;;1400;;;;;;;1294276;1587912;2921635;1945525;0;98914;290;855545;362959;542700;1320780;768;195;3749;284;27;407;1158;10289;1822;213;3844;3006;3857;3487;31;52;37;0;9;3;14;0;3;3;8;0;1;6;19;0;1;1;3;0;97;11;4119;62,91;9,7;11,77;34,07;7,63;4,65;4,15;3,8;5,54;4,42;0,88;0;2,2;15,56;4,64;4,42;6,63
154;348;SCD de Sorbonne Université;0752737T;TTC;180,22;;2563022;;;144273;227968;9110066;564024;110310;2208395;585783;498900;;;427245;257570;;36530;;;6088;1141462;339500;20;80;;;76802;42052;7839;5399;;;728203;14492;158576;899859;246721;;;;;;;;;;;;;;;;90;1539;4243;;100;;;;0;52;333795;60229;;;;7397;;1278;202;11968;;209;2643;;16;275;2140;;351;7443;65;105;17086;150;;962;;;;;;;52;60229;348425;2381157;4;;13326;5029;806;604;397;3622;;;;;;;;;;;;;278670;1002648;256452;2173918;719758;;;;;;385883;;40;119;4;1;47;1525;4425;5716;513;;;;;38;52;44;;8;7;12;;0;3;9;;1;7;6;;2;0;2;;55;8,77;;40,38;9,53;11,73;56,69;7,54;1,39;1,03;1,7;2,7;1,38;1,25;0,5;0,02;18,6;15,45;3,91;6,42
